Time (s),Target Speed,Current Position,Current Speed
1.1920928955078125e-06,-4222.427096061462,264.4111328125,-0.6963331614619529
0.032108306884765625,-3.905318638732572,264.5,2.7671977312209535
0.06804704666137695,47.869231894441455,261.5,-83.4737198240691
0.10013270378112793,-22.450097551020725,262.58160400390625,33.7071358516361
0.13208293914794922,-38.26826237324558,264.5,60.03877062207597
0.16791486740112305,19.60912857538974,263.19573974609375,-36.40180995475113
0.1999826431274414,29.507967819629354,261.5,-52.871613032715594
0.23604369163513184,-52.16398439566252,264.5,83.1983073261042
0.2680807113647461,35.22609343492592,262.5,-62.41848905820988
0.2998850345611572,-28.4227885256059,263.88763427734375,43.639853638054106
0.3358759880065918,11.28065405211362,263.0767822265625,-22.519036457298743
0.36804723739624023,40.071436891000545,260.81072998046875,-70.46590698467539
0.4037768840789795,16.566768649618048,259.69317626953125,-31.272834020522264
0.4357321262359619,3.052344904430555,259.41375732421875,-8.744137462787904
0.46770501136779785,71.25733713962016,255.5,-122.35389523270028
0.5038738250732422,54.3548423241189,252.09576416015625,-94.12633327620077
0.5360677242279053,15.437048508441155,251.1546630859375,-29.24765856550089
0.5677330493927002,-9.21475133068904,251.529541015625,11.83242653422132
0.6038427352905273,48.25563783426873,248.5,-83.90106305711456
0.6358964443206787,-39.561946387640276,250.5,62.42824397940047
0.6718018054962158,-52.243165581506474,253.5,83.5136093025108
0.7040703296661377,-76.54593821341233,257.5,123.95156368902056
0.7359790802001953,-58.63441005000336,260.5,94.0490167500056
0.7719545364379883,-85.66729814652771,265.5,139.02049691087953
0.8039083480834961,-77.36140317974035,269.5,125.11067196623391
0.8360428810119629,-87.57750171686084,274.06524658203125,142.06141541840088
0.8724813461303711,-36.3537116753886,276.1282958984375,56.654047860673714
0.9039864540100098,1.110756111431145,275.9459228515625,-5.783692233244617
0.9400119781494141,29.54966433467469,274.033447265625,-53.149998012218234
0.9720323085784912,50.76527962660501,271.2010498046875,-88.46215020775314
1.0040442943572998,116.96637822051532,264.839599609375,-198.69129036101512
1.0400364398956299,160.42957999648382,255.0882568359375,-270.96743760807203
1.0721852779388428,160.35402516663638,246.38116455078125,-270.696394686907
1.1037745475769043,155.44885481153398,238.08642578125,-262.3828651155775
1.1398508548736572,133.8451293233575,229.92449951171875,-226.2406238641245
1.1718192100524902,93.97532051817264,224.8206787109375,-159.70587884213668
1.2078418731689453,45.500377375124174,221.978271484375,-78.86693348327987
1.2398388385772705,2.7017216628254968,221.7373046875,-7.531824516167495
1.2718710899353027,-16.11315936397338,222.5,23.813598939955632
1.3077421188354492,-52.035104085661295,225.5,83.6335068094355
1.3399322032928467,-73.89963616371486,229.36273193359375,120.01001474063155
1.3759217262268066,-118.77116379139937,236.37030029296875,194.67910131411614
1.4080514907836914,-161.1475646271212,244.8858642578125,265.16450997423846
1.4399793148040771,-147.41635252068852,252.618408203125,242.15028073109545
1.475827693939209,-117.38938066224108,259.5,191.99063443706848
1.5082745552062988,-78.18310761789847,263.6058349609375,126.5784154471485
1.5402390956878662,-43.89511156613549,265.82476806640625,69.39477314245238
1.5759248733520508,11.172909234329492,265.02630615234375,-22.37195382642155
1.608076810836792,26.249902777983774,263.5,-47.47483796330629
1.6442196369171143,80.83764449722882,258.5,-138.37107416204805
1.6760122776031494,103.72609993255332,252.88934326171875,-176.42498894195086
1.7078771591186523,102.16286850856989,247.3543701171875,-173.72735368290293
1.744093418121338,69.2509261429912,243.0526123046875,-118.80242044339678
1.7759122848510742,71.59252781463181,239.14862060546875,-122.64002336781084
1.8081855773925781,15.437549210886926,238.2119140625,-29.03278058585321
1.8441121578216553,-23.50682841367594,239.5,35.85304735612657
1.8760294914245605,-87.71581711836102,244.05767822265625,142.79206722689077
1.9121687412261963,-59.225966822580965,247.5,95.25161137096828
1.9441227912902832,-114.81022629077152,253.5,187.79204381795253
1.9758450984954834,-109.98165710095742,259.2021484375,179.64939269430403
2.012155294418335,-59.345074632295336,262.658447265625,95.19748359939848
2.043940782546997,-93.6838991920056,267.5,152.34816532000931
2.0760204792022705,-58.43778413061904,270.5,93.5546402176984
2.1122751235961914,-33.9387526822142,272.4105224609375,52.691079096008046
2.1439225673675537,-5.949705918584932,272.60162353515625,6.039482805388951
2.1800191402435303,22.784334102012075,271.0914306640625,-41.82541401442117
2.211838722229004,121.98922832363446,264.5,-207.05704720605746
2.243864059448242,149.45453435748854,256.41058349609375,-252.69773365408247
2.279778003692627,146.03514890374953,247.54583740234375,-246.85101212962164
2.311966896057129,166.62914117472778,238.5,-281.02356862454633
2.3479373455047607,144.06434592541527,229.75,-243.26974320902548
2.3800101280212402,107.33042404255441,223.91351318359375,-181.94926529065057
2.411959409713745,89.48109489509208,219.05126953125,-152.11934598400765
2.4479820728302,15.734656639148367,218.0,-29.191094398580614
2.479982376098633,-11.15809545979366,218.5,15.621825766322768
2.5118308067321777,-1.7850000000000001,218.5,0.0
2.5479912757873535,-33.75248569065923,220.42449951171875,53.2470678259034
2.580040454864502,-84.91702592101537,224.86175537109375,138.4473472788407
2.6161048412323,-112.34028737151735,231.5,184.04214561919557
2.648087501525879,-95.77701678980684,236.5,156.35336131634472
2.6800436973571777,-133.4051241657034,243.5,218.95020694283903
2.715975046157837,-135.7784701438037,251.5,222.77245023967282
2.747816324234009,-171.70733943512295,260.5,282.50389905853825
2.779963731765747,-75.95143525673325,264.4488525390625,122.84491121890437
2.8158819675445557,-40.688134984579094,266.7490234375,64.03440791700683
2.8477306365966797,-16.422398679502344,267.5,23.578997799170573
